Tea Name,Mood,Weather,Time of Day,Brewing Time (mins),Season,Caffeine Level,Flavor Profile,Popularity
Green Tea Genmaicha,Calm,Sunny,Afternoon,3-5,Summer,Medium,Roasted Rice,4
Moroccan Mint Tea,Energized,Hot,Evening,4-6,Summer,Low,Minty Fresh,5
Russian Caravan,Calm,Cold,Morning,5-7,Winter,High,Smoky,4
Kombucha Tea,Calm,Hot,Morning,2-3,Summer,Low,Tangy,3
Butterfly Pea Flower Tea,Calm,Cold,Afternoon,3-4,Summer,,Blue Floral,3
Vanilla Rooibos,Relaxed,Cold,Evening,4-6,Winter,,Sweet Vanilla,4
Lapsang Souchong,Energized,Cold,Morning,4-6,Winter,High,Smoky,5
Hojicha,Relaxed,Hot,Afternoon,2-3,Autumn,Low,Roasted,3
Milk Oolong,Balanced,Hot,Afternoon,4-6,Spring,Medium,Creamy,4
Nettle Tea,Calm,Cold,Morning,3-5,Spring,,Herbal Green,3
Rosehip Tea,Energized,Cold,Evening,4-5,Autumn,,Tart,3
Elderberry Tea,Immune,Cold,Evening,3-4,Winter,,Berry,4
Golden Monkey Black Tea,Focused,Sunny,Morning,4-6,Summer,High,Malty,5
Kukicha,Calm,Hot,Afternoon,2-3,Summer,Low,Light Green,3
Chrysanthemum Tea,Calm,Cold,Evening,3-4,Autumn,,Floral,3
Buckwheat Tea,Balanced,Cold,Morning,3-5,Winter,,Nutty,3
Raspberry Leaf Tea,Balanced,Hot,Evening,4-5,Summer,,Herbal,3
Mugwort Tea,Calm,Cold,Evening,3-4,Autumn,,Herbal,2
Gunpowder Green Tea,Focused,Hot,Morning,3-5,Summer,Medium,Smoky Green,4
Licorice Root Tea,Relaxed,Cold,Evening,4-5,Winter,,Sweet,3
Dandelion Root Tea,Calm,Hot,Morning,4-6,Spring,,Earthy,3
Sage Tea,Focused,Cold,Morning,3-4,Autumn,,Herbal,3
Red Clover Tea,Calm,Cold,Evening,3-5,Summer,,Mild Herbal,3
Fennel Seed Tea,Digestive,Hot,After Meal,3-4,Winter,,Anise,3
Passionflower Tea,Relaxed,Cold,Evening,4-5,Summer,,Floral,3
Hawthorn Berry Tea,Heart-Healthy,Cold,Afternoon,3-4,Autumn,,Tart Berry,3
Rhodiola Tea,Energized,Hot,Morning,3-5,Summer,Low,Herbal,4
Ashwagandha Tea,Relaxed,Cold,Evening,4-5,Winter,,Earthy,3
Moringa Tea,Energized,Hot,Morning,2-3,Summer,Low,Green Herbal,4
Valerian Root Tea,Calm,Cold,Evening,4-5,Autumn,,Earthy,3
Calendula Tea,Relaxed,Cold,Evening,3-4,Summer,,Floral,3
Echinacea Tea,Immune,Hot,Morning,3-5,Winter,,Herbal,4
Kava Kava Tea,Relaxed,Cold,Evening,4-5,Summer,,Earthy,3
Guayusa Tea,Focused,Hot,Morning,3-4,Summer,High,Clean Herbal,4
Holy Basil Tea,Balanced,Hot,Afternoon,3-4,Summer,Low,Herbal Spice,4
Chaga Mushroom Tea,Immune,Cold,Morning,4-6,Winter,,Earthy,3
Reishi Mushroom Tea,Calm,Cold,Evening,4-5,Autumn,,Woody,3
Marshmallow Root Tea,Relaxed,Cold,Evening,3-4,Winter,,Mild Sweet,3
Solomon's Seal Tea,Calm,Cold,Evening,4-5,Autumn,,Herbal,2
Blue Vervain Tea,Calm,Cold,Evening,3-4,Summer,,Herbal,3
Wild Cherry Bark Tea,Relaxed,Cold,Evening,4-5,Winter,,Bark,3
Catnip Tea,Relaxed,Cold,Evening,3-4,Summer,,Herbal,3
